Date,ARM,IONQ,TSM,POET,AVGO,AMD,QUBT,AASI.MI,MWEQ.MI,QBTS,Liquidita,Liquidita Impegnata,Valore Titoli,NAV,Cash Flow,TWRR Giornaliero,TWRR Cumulativo
2025-08-11,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,104.2,1075.68,1122.64,1226.84,0.0,0.0159,0.1589
2025-08-12,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,104.2,1075.68,1134.36,1238.56,0.0,0.0096,0.17
2025-08-13,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,104.2,1075.68,1136.06,1240.26,0.0,0.0014,0.1716
2025-08-14,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,104.2,1075.68,1131.43,1235.63,0.0,-0.0037,0.1672
2025-08-18,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,971.48,1121.61,1121.61,-104.2,-0.008,0.158
2025-08-19,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,971.48,1071.6,1071.6,0.0,-0.0446,0.1063
2025-08-20,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,971.48,1055.16,1055.16,0.0,-0.0153,0.0894
2025-08-21,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,971.48,1057.8,1057.8,0.0,0.0025,0.0921
2025-08-25,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,971.48,1079.13,1079.13,0.0,0.0202,0.1141
2025-08-26,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,971.48,1093.12,1093.12,0.0,0.013,0.1285
2025-08-27,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,971.48,1093.41,1093.41,0.0,0.0003,0.1288
2025-08-28,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,971.48,1111.14,1111.14,0.0,0.0162,0.1471
2025-09-01,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,971.48,1107.88,1107.88,0.0,-0.0029,0.1438
2025-09-02,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,971.48,1062.52,1062.52,0.0,-0.0409,0.0969
2025-09-03,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,971.48,1061.09,1061.09,0.0,-0.0013,0.0955
2025-09-04,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,971.48,1075.7,1075.7,0.0,0.0138,0.1106
2025-09-08,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,971.48,1101.07,1101.07,0.0,0.0236,0.1367
2025-09-09,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,971.48,1119.73,1119.73,0.0,0.0169,0.156
2025-09-10,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,971.48,1179.7,1179.7,0.0,0.0536,0.2179
2025-09-11,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,971.48,1164.41,1164.41,0.0,-0.013,0.2021
2025-09-15,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,971.48,1181.76,1181.76,0.0,0.0149,0.2201
2025-09-16,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,971.48,1167.21,1167.21,0.0,-0.0123,0.205
2025-09-17,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,971.48,1163.25,1163.25,0.0,-0.0034,0.2009
2025-09-18,2.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,971.48,1161.65,1161.65,0.0,-0.0014,0.1993
2025-09-22,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,136.31,971.48,1033.77,1170.08,0.0,0.0073,0.208
2025-09-23,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,158.0,0.0,-18.59,1121.48,1317.01,1298.42,150.0,-0.0185,0.1856
2025-09-24,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,158.0,0.0,-18.59,1121.48,1324.86,1306.27,0.0,0.006,0.1928
2025-09-25,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,158.0,0.0,-18.59,1121.48,1320.23,1301.64,0.0,-0.0035,0.1886
2025-09-29,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,158.0,0.0,-18.59,1121.48,1318.91,1300.32,0.0,-0.001,0.1874
2025-09-30,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,158.0,0.0,-18.28,1121.48,1320.12,1301.84,0.0,0.0012,0.1888
2025-10-01,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,158.0,0.0,1.72,1141.48,1345.13,1346.85,20.0,0.0192,0.2116
2025-10-02,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,158.0,0.0,1.72,1141.48,1359.73,1361.45,0.0,0.0108,0.2247
2025-10-06,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,158.0,0.0,1.72,1141.48,1434.59,1436.31,0.0,0.055,0.2921
2025-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,578.55,1141.48,816.39,1394.94,0.0,-0.0288,0.2548
2025-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,158.0,0.0,41.25,1141.48,1360.1,1401.35,0.0,0.0046,0.2606
2025-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,158.0,0.0,-48.75,1051.48,1359.38,1310.63,-90.0,-0.0005,0.26
2025-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,158.0,0.0,-48.74,1051.48,1344.02,1295.28,0.0,-0.0117,0.2452
2025-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,158.0,0.0,-48.74,1051.48,1334.78,1286.04,0.0,-0.0071,0.2363
2025-10-15,0.0,0.0,0.0,10.0,0.0,0.0,0.0,12.0,158.0,0.0,-32.08,1146.48,1421.02,1388.94,95.0,0.0061,0.2439
2025-10-16,0.0,0.0,0.0,10.0,0.0,0.0,0.0,12.0,158.0,0.0,22.92,1201.48,1417.71,1440.63,55.0,-0.0024,0.241
2025-10-20,0.0,0.0,0.0,10.0,0.0,0.0,0.0,12.0,158.0,0.0,22.92,1201.48,1426.42,1449.34,0.0,0.006,0.2485
2025-10-21,0.0,0.0,0.0,10.0,0.0,0.0,0.0,12.0,158.0,0.0,22.92,1201.48,1427.17,1450.09,0.0,0.0005,0.2491
2025-10-22,0.0,0.0,0.0,10.0,0.0,0.0,0.0,12.0,158.0,0.0,22.92,1201.48,1423.95,1446.87,0.0,-0.0022,0.2463
2025-10-23,0.0,0.0,0.0,10.0,0.0,0.0,0.0,12.0,158.0,0.0,22.92,1201.48,1428.58,1451.5,0.0,0.0032,0.2503
2025-10-27,0.0,0.0,0.0,10.0,0.0,0.0,0.0,12.0,158.0,0.0,22.92,1201.48,1445.01,1467.93,0.0,0.0113,0.2645
2025-10-28,0.0,0.0,0.0,10.0,0.0,0.0,0.0,12.0,158.0,0.0,22.92,1201.48,1435.85,1458.77,0.0,-0.0062,0.2566
2025-10-29,0.0,0.0,0.0,10.0,0.0,0.0,0.0,12.0,158.0,0.0,22.92,1201.48,1436.06,1458.98,0.0,0.0001,0.2568
